"t","v"
0.0080804649,-0.0407582121
0.008081465,-0.040650733
0.008082465,-0.040543112
0.008083465,-0.0404447915
0.008084465,-0.0403238481
0.008085465,-0.0402169647
0.0080864651,-0.0401078907
0.0080874651,-0.039996903
0.0080884651,-0.0398861654
0.0080894651,-0.0397745767
0.0080904652,-0.0396640288
0.0080914652,-0.0395470245
0.0080924652,-0.039433586
0.0080934652,-0.0393201046
0.0080944653,-0.0392057265
0.0080954653,-0.0390942652
0.0080964653,-0.0389672013
0.0080974653,-0.0388522564
0.0080984653,-0.038736549
0.0080994654,-0.0386196784
0.0081004654,-0.0385022315
0.0081014654,-0.0383846217
0.0081024654,-0.0382598665
0.0081034655,-0.0381398919
0.0081044655,-0.0380194604
0.0081054655,-0.03789844
0.0081064655,-0.0377768428
0.0081074656,-0.0376591654
0.0081084656,-0.03752737
0.0081094656,-0.0374053606
0.0081104656,-0.037281441
0.0081114656,-0.0371571866
0.0081124657,-0.0370321426
0.0081134657,-0.0369109591
0.0081144657,-0.0367788791
0.0081154657,-0.0366489303
0.0081164658,-0.0365217147
0.0081174658,-0.036393969
0.0081184658,-0.0362656284
0.0081194658,-0.0361389155
0.0081204659,-0.0360047357
0.0081214659,-0.035873154
0.0081224659,-0.0357425746
0.0081234659,-0.0356114064
0.0081244659,-0.0354814754
0.008125466,-0.0353490836
0.008126466,-0.0352161265
0.008127466,-0.0350833807
0.008128466,-0.0349476119
0.0081294661,-0.0348081403
0.0081304661,-0.0346725
0.0081314661,-0.0345370464
0.0081324661,-0.034401842
0.0081334661,-0.0342671885
0.0081344662,-0.0341303461
0.0081354662,-0.033990904
0.0081364662,-0.0338499739
0.0081374662,-0.0337078629
0.0081384663,-0.0335667366
0.0081394663,-0.0334272513
0.0081404663,-0.033284682
0.0081414663,-0.0331512272
0.0081424664,-0.0329996953
0.0081434664,-0.032861206
0.0081444664,-0.0327175345
0.0081454664,-0.0325733331
0.0081464664,-0.0324328782
0.0081474665,-0.0322919437
0.0081484665,-0.0321425132
0.0081494665,-0.0319903712
0.0081504665,-0.0318447184
0.0081514666,-0.0317018712
0.0081524666,-0.0315630338
0.0081534666,-0.0314077947
0.0081544666,-0.0312593278
0.0081554667,-0.0311142373
0.0081564667,-0.0309650006
0.0081574667,-0.0308174937
0.0081584667,-0.0306636855
0.0081594667,-0.0305104252
0.0081604668,-0.0303595298
0.0081614668,-0.0302087204
0.0081624668,-0.0300565364
0.0081634668,-0.0299099865
0.0081644669,-0.029752582
0.0081654669,-0.0295975842
0.0081664669,-0.0294420605
0.0081674669,-0.0292896332
0.0081684669,-0.0291426237
0.008169467,-0.0289818418
0.008170467,-0.0288217289
0.008171467,-0.0286666998
0.008172467,-0.0285104896
0.0081734671,-0.0283627566
0.0081744671,-0.0281946079
0.0081754671,-0.0280378383
0.0081764671,-0.0278812582
0.0081774672,-0.0277225406
0.0081784672,-0.0275664359
0.0081794672,-0.0274040923
0.0081804672,-0.0272422623
0.0081814672,-0.0270825701
0.0081824673,-0.0269224567
0.0081834673,-0.0267662925
0.0081844673,-0.0265992268
0.0081854673,-0.0264338102
0.0081864674,-0.0262721882
0.0081874674,-0.0261101698
0.0081884674,-0.0259536799
0.0081894674,-0.0257852532
0.0081904675,-0.0256167075
0.0081914675,-0.0254538237
0.0081924675,-0.0252894018
0.0081934675,-0.0251271297
0.0081944675,-0.0249580445
0.0081954676,-0.0247877328
0.0081964676,-0.024626369
0.0081974676,-0.0244601174
0.0081984676,-0.0242983279
0.0081994677,-0.0241233968
0.0082004677,-0.0239545757
0.0082014677,-0.0237872639
0.0082024677,-0.0236175804
0.0082034678,-0.0234559231
0.0082044678,-0.0232760712
0.0082054678,-0.0231098349
0.0082064678,-0.022939027
0.0082074678,-0.02276845
0.0082084679,-0.0226059884
0.0082094679,-0.0224240256
0.0082104679,-0.0222534582
0.0082114679,-0.0220807054
0.008212468,-0.021913599
0.008213468,-0.0217455429
0.008214468,-0.0215611914
0.008215468,-0.0213896974
0.008216468,-0.0212162362
0.0082174681,-0.0210466453
0.0082184681,-0.0208789085
0.0082194681,-0.020690268
0.0082204681,-0.0205180534
0.0082214682,-0.0203451736
0.0082224682,-0.0201713295
0.0082234682,-0.0199993627
0.0082244682,-0.0198156193
0.0082254683,-0.0196381956
0.0082264683,-0.0194649674
0.0082274683,-0.019289169
0.0082284683,-0.0191153073
0.0082294683,-0.0189303311
0.0082304684,-0.01875181
0.0082314684,-0.0185763701
0.0082324684,-0.0183986173
0.0082334684,-0.0182257986
0.0082344685,-0.0180400109
0.0082354685,-0.0178579057
0.0082364685,-0.0176796944
